datatype,flow,timestamp,value
bitrate,S1,1612299338,9182656
packetcount,S1,1612299338,796
packetcount,Gold,1612299338,1361
bitrate,Gold,1612299338,15940032
packetcount,Bronze,1612299339,1129
packetcount,S2,1612299339,803
bitrate,S1,1612299339,9182656
bitrate,S2,1612299339,9263408
packetcount,S1,1612299339,796
bitrate,Bronze,1612299339,13222848
bitrate,Gold,1612299339,18294144
packetcount,Gold,1612299339,1562
bitrate,Bronze,1612299340,16373376
packetcount,S2,1612299340,804
packetcount,Bronze,1612299340,1398
bitrate,S2,1612299340,9274944
bitrate,S1,1612299340,9240336
packetcount,S1,1612299340,801
packetcount,Gold,1612299340,1286
bitrate,Gold,1612299340,15061632
packetcount,S2,1612299341,799
bitrate,S1,1612299341,9136512
bitrate,Gold,1612299341,15389568
packetcount,S1,1612299341,792
packetcount,Gold,1612299341,1314
bitrate,S2,1612299341,9217264
packetcount,Bronze,1612299341,1384
bitrate,Bronze,1612299341,16209408
packetcount,S1,1612299342,792
bitrate,S2,1612299342,9228800
bitrate,S1,1612299342,9136512
packetcount,S2,1612299342,800
bitrate,Bronze,1612299342,16724736
packetcount,Gold,1612299342,1269
packetcount,Bronze,1612299342,1428
bitrate,Gold,1612299342,14862528
bitrate,S1,1612299343,9182656
packetcount,Gold,1612299343,1254
packetcount,S1,1612299343,796
packetcount,S2,1612299343,804
bitrate,S2,1612299343,9274944
bitrate,Gold,1612299343,14686848
packetcount,Bronze,1612299343,1435
bitrate,Bronze,1612299343,16806720
packetcount,Gold,1612299344,1281
packetcount,S1,1612299344,796
bitrate,S1,1612299344,9182656
bitrate,Gold,1612299344,15003072
packetcount,S2,1612299344,801
packetcount,Bronze,1612299344,1411
bitrate,Bronze,1612299344,16525632
bitrate,S2,1612299344,9240336
bitrate,S1,1612299345,9205728
bitrate,Bronze,1612299345,14136384
packetcount,S1,1612299345,798
packetcount,Bronze,1612299345,1207
packetcount,S2,1612299345,804
bitrate,S2,1612299345,9274944
packetcount,Gold,1612299345,1480
bitrate,Gold,1612299345,17333760
packetcount,S2,1612299346,797
bitrate,S2,1612299346,9194192
packetcount,Bronze,1612299346,1235
packetcount,S1,1612299346,796
bitrate,Bronze,1612299346,14464320
bitrate,S1,1612299346,9182656
bitrate,Gold,1612299346,17111232
packetcount,Gold,1612299346,1461
packetcount,S2,1612299347,801
bitrate,Gold,1612299347,13035456
packetcount,Gold,1612299347,1113
bitrate,S2,1612299347,9240336
packetcount,Bronze,1612299347,1578
bitrate,Bronze,1612299347,18481536
packetcount,S1,1612299347,797
bitrate,S1,1612299347,9194192
bitrate,Bronze,1612299348,19172544
packetcount,Gold,1612299348,1059
bitrate,Gold,1612299348,12403008
packetcount,Bronze,1612299348,1637
