datatype,flow,timestamp,value,time_offset
packetcount,S1,1612299302,786,58
bitrate,Bronze,1612299302,15073344,58
packetcount,Bronze,1612299302,1287,58
bitrate,S1,1612299302,9067296,58
packetcount,Gold,1612299303,1530,59
bitrate,S2,1612299303,9228800,59
packetcount,S1,1612299303,807,59
packetcount,S2,1612299303,800,59
bitrate,S1,1612299303,9309552,59
bitrate,Gold,1612299303,17919360,59
packetcount,Bronze,1612299303,1152,59
bitrate,Bronze,1612299303,13492224,59
packetcount,Gold,1612299304,1433,60
packetcount,S2,1612299304,805,60
bitrate,S2,1612299304,9286480,60
bitrate,Gold,1612299304,16783296,60
packetcount,S1,1612299304,795,60
bitrate,S1,1612299304,9171120,60
packetcount,Bronze,1612299304,1256,60
bitrate,Bronze,1612299304,14710272,60
packetcount,S1,1612299305,788,61
packetcount,Bronze,1612299305,1417,61
bitrate,Bronze,1612299305,16595904,61
bitrate,S1,1612299305,9090368,61
bitrate,Gold,1612299305,15061632,61
packetcount,S2,1612299305,798,61
packetcount,Gold,1612299305,1286,61
bitrate,S2,1612299305,9205728,61
packetcount,S1,1612299306,799,62
bitrate,S1,1612299306,9217264,62
bitrate,Gold,1612299306,18868032,62
packetcount,S2,1612299306,803,62
packetcount,Gold,1612299306,1611,62
bitrate,S2,1612299306,9263408,62
packetcount,Bronze,1612299306,1076,62
bitrate,Bronze,1612299306,12602112,62
packetcount,S1,1612299307,796,63
bitrate,S1,1612299307,9182656,63
bitrate,Bronze,1612299307,14546304,63
packetcount,Bronze,1612299307,1242,63
packetcount,Gold,1612299307,1452,63
packetcount,S2,1612299307,799,63
bitrate,S2,1612299307,9217264,63
bitrate,Gold,1612299307,17005824,63
packetcount,Bronze,1612299308,1532,64
packetcount,S2,1612299308,803,64
bitrate,Bronze,1612299308,17942784,64
bitrate,S2,1612299308,9263408,64
packetcount,S1,1612299308,794,64
bitrate,S1,1612299308,9159584,64
packetcount,Gold,1612299308,1161,64
bitrate,Gold,1612299308,13597632,64
bitrate,Gold,1612299309,13539072,65
packetcount,S1,1612299309,796,65
packetcount,Gold,1612299309,1156,65
packetcount,S2,1612299309,803,65
bitrate,S2,1612299309,9263408,65
bitrate,S1,1612299309,9182656,65
bitrate,Bronze,1612299309,17966208,65
packetcount,Bronze,1612299309,1534,65
bitrate,S2,1612299310,9251872,66
packetcount,S2,1612299310,802,66
bitrate,S1,1612299310,9228800,66
packetcount,Bronze,1612299310,1550,66
packetcount,S1,1612299310,800,66
bitrate,Bronze,1612299310,18153600,66
packetcount,Gold,1612299310,1137,66
bitrate,Gold,1612299310,13316544,66
packetcount,S2,1612299311,802,67
bitrate,Gold,1612299311,13421952,67
packetcount,Gold,1612299311,1146,67
packetcount,S1,1612299311,798,67
bitrate,S1,1612299311,9205728,67
bitrate,S2,1612299311,9251872,67
packetcount,Bronze,1612299311,1543,67
bitrate,Bronze,1612299311,18071616,67
packetcount,Gold,1612299312,1079,68
packetcount,S1,1612299312,797,68
packetcount,S2,1612299312,800,68
bitrate,S2,1612299312,9228800,68
bitrate,Gold,1612299312,12637248,68
bitrate,Bronze,1612299312,18891456,68
bitrate,S1,1612299312,9194192,68
packetcount,Bronze,1612299312,1613,68
packetcount,Bronze,1612299313,1670,69
packetcount,S1,1612299313,798,69
bitrate,S1,1612299313,9205728,69
bitrate,S2,1612299313,9274944,69
packetcount,S2,1612299313,804,69
bitrate,Bronze,1612299313,19559040,69
packetcount,Gold,1612299313,1017,69
bitrate,Gold,1612299313,11911104,69
packetcount,S2,1612299314,800,70
packetcount,Gold,1612299314,1443,70
bitrate,S2,1612299314,9228800,70
bitrate,Gold,1612299314,16900416,70
packetcount,S1,1612299314,799,70
bitrate,S1,1612299314,9217264,70
packetcount,Bronze,1612299314,1248,70
bitrate,Bronze,1612299314,14616576,70
packetcount,S2,1612299315,801,71
bitrate,Gold,1612299315,20261760,71
packetcount,Gold,1612299315,1730,71
bitrate,S2,1612299315,9240336,71
packetcount,S1,1612299315,800,71
bitrate,S1,1612299315,9228800,71
packetcount,Bronze,1612299315,958,71
bitrate,Bronze,1612299315,11220096,71
packetcount,S2,1612299316,804,72
packetcount,S1,1612299316,799,72
bitrate,S1,1612299316,9217264,72
bitrate,Gold,1612299316,18551808,72
bitrate,S2,1612299316,9274944,72
packetcount,Gold,1612299316,1584,72
packetcount,Bronze,1612299316,1102,72
bitrate,Bronze,1612299316,12906624,72
packetcount,S1,1612299317,794,73
bitrate,Gold,1612299317,17649984,73
bitrate,S1,1612299317,9159584,73
packetcount,Gold,1612299317,1507,73
bitrate,S2,1612299317,9228800,73
packetcount,S2,1612299317,800,73
packetcount,Bronze,1612299317,1188,73
bitrate,Bronze,1612299317,13913856,73
packetcount,S2,1612299318,801,74
packetcount,Bronze,1612299318,1512,74
bitrate,Bronze,1612299318,17708544,74
bitrate,S2,1612299318,9240336,74
packetcount,S1,1612299318,795,74
bitrate,S1,1612299318,9171120,74
packetcount,Gold,1612299318,1181,74
bitrate,Gold,1612299318,13831872,74
bitrate,Bronze,1612299319,18797760,75
packetcount,Bronze,1612299319,1605,75
packetcount,S1,1612299319,799,75
packetcount,S2,1612299319,805,75
bitrate,S1,1612299319,9217264,75
bitrate,S2,1612299319,9286480,75
packetcount,Gold,1612299319,1080,75
bitrate,Gold,1612299319,12648960,75
packetcount,Bronze,1612299320,1685,76
bitrate,Bronze,1612299320,19734720,76
packetcount,S2,1612299320,801,76
packetcount,Gold,1612299320,1011,76
bitrate,Gold,1612299320,11840832,76
packetcount,S1,1612299320,793,76
bitrate,S1,1612299320,9148048,76
bitrate,S2,1612299320,9240336,76
bitrate,Gold,1612299321,14792256,77
packetcount,Gold,1612299321,1263,77
packetcount,S2,1612299321,798,77
bitrate,S2,1612299321,9205728,77
packetcount,Bronze,1612299321,1434,77
bitrate,Bronze,1612299321,16795008,77
bitrate,S1,1612299321,9159584,77
packetcount,S1,1612299321,794,77
packetcount,S1,1612299322,798,78
bitrate,Gold,1612299322,17052672,78
packetcount,Gold,1612299322,1456,78
packetcount,S2,1612299322,804,78
bitrate,S1,1612299322,9205728,78
packetcount,Bronze,1612299322,1230,78
bitrate,S2,1612299322,9274944,78
bitrate,Bronze,1612299322,14405760,78
packetcount,S2,1612299323,798,79
bitrate,S2,1612299323,9205728,79
packetcount,Bronze,1612299323,1122,79
bitrate,Bronze,1612299323,13140864,79
packetcount,S1,1612299323,794,79
bitrate,S1,1612299323,9159584,79
bitrate,Gold,1612299323,18446400,79
packetcount,Gold,1612299323,1575,79
bitrate,Gold,1612299324,12976896,80
packetcount,Gold,1612299324,1108,80
packetcount,S2,1612299324,798,80
bitrate,S2,1612299324,9205728,80
bitrate,S1,1612299324,9182656,80
packetcount,S1,1612299324,796,80
bitrate,Bronze,1612299324,18598656,80
packetcount,Bronze,1612299324,1588,80
packetcount,S1,1612299325,795,81
packetcount,S2,1612299325,803,81
packetcount,Bronze,1612299325,1557,81
bitrate,Bronze,1612299325,18235584,81
bitrate,S1,1612299325,9171120,81
packetcount,Gold,1612299325,1134,81
bitrate,S2,1612299325,9263408,81
bitrate,Gold,1612299325,13281408,81
packetcount,Gold,1612299326,1254,82
bitrate,S1,1612299326,9217264,82
bitrate,Gold,1612299326,14686848,82
packetcount,S1,1612299326,799,82
